Support_ID;Stations_ANFR_Orange;Nb_stations_orange;Exploitant_Orange;Latitude;Longitude;Hauteur_m;Nature_support;Proprietaire;Adresse;Code_postal;Code_INSEE;Departement;Technologies_systemes
71443;0012290085;1;Orange;45.9525;5.5430556;17.0;Pylône autostable;TDF;Rochers de Bréon - Site TDF;01230;01076;01;GSM 900 | LTE 1800 | LTE 700 | LTE 800 | UMTS 900
3065305;0012290494;1;Orange;46.1230556;5.4641667;24.0;Pylône autostable;BOUYGUES;VERS LA FONTAINE - CHEMIN DE LA BOISSIERE - PROCHE ROUTE DE CERDON;01450;01077;01;LTE 700 | LTE 800 | UMTS 900
617100;0012290258;1;Orange;46.1691667;5.9669444;30.0;Pylône autostable;RTE;Combaillodet - chem des carrés - Pylone electrique N°6 ligne de Bois-Tollot à Pougny;01630;01078;01;GSM 900 | LTE 1800 | LTE 2100 | LTE 800 | UMTS 900
2559855;0012290433;1;Orange;45.9155556;5.6911111;24.0;Pylône autostable;ORANGE;Les Rochers de Charron - Chemin rural de Musin;01260;01079;01;LTE 700 | LTE 800 | UMTS 900
3321;0010220062;1;Orange service fixe;45.9044444;5.6791667;18.0;Pylône autostable;TOTEM;grande rue - AUTOCOMMUTATEUR - pres eglise;01260;01079;01;FH
635043;0012290118;1;Orange;46.1947222;5.8061111;12.5;Pylône autostable;TOTEM;Communal - Cret de l'Echat;01410;01081;01;5G NR 2100 | GSM 900 | LTE 1800 | LTE 700 | LTE 800 | UMTS 900
2698657;0012290464;1;Orange;46.0008333;5.7788889;38.2;Pylône autostable;PHOENIX FRANCE INFRASTRUCTURES;EN GUEUDRY - PROCHE ROUTE DE SEYSSEL - DEPARTEMENTALE 991;01420;01082;01;LTE 700 | LTE 800 | UMTS 900
1133540;0012290308;1;Orange;46.1005556;4.8469444;38.0;Pylône autostable;TOTEM;Manettes - Voie communale n° 25 - Impasse du bois d'Y;01990;01083;01;5G NR 3500 | 5G NR 700 | GSM 900 | LTE 1800 | LTE 2600 | LTE 700 | LTE 800 | UMTS 900
516452;0012290251;1;Orange;46.0852778;4.8477778;25.0;Pylône autostable;TOTEM;Bouillaque - Près Voie Ferrée;01990;01083;01;GSM 900 | LTE 1800 | LTE 2100 | LTE 2600 | LTE 700 | LTE 800 | UMTS 900
2801137;0012290468;1;Orange;46.1922222;5.0327778;38.9;Pylône autostable;FREE-MOBILE;LES BOTTES - proche de la route de la cadot;01400;01084;01;LTE 700 | LTE 800 | UMTS 900
2221207;0010220132 | 0012290361;2;Orange | Orange service fixe;46.1736111;5.6852778;30.0;Pylône autostable;ATC FRANCE;Les Lézines - D 95;01130;01087;01;FH | LTE 1800 | LTE 700 | LTE 800 | UMTS 900
46199;0010220083;1;Orange service fixe;46.1847222;5.6813889;8.0;Bâtiment;ORANGE Services Fixes;LE BUGNON;01130;01087;01;FH
2826438;0010220188 | 0012290498;2;Orange | Orange service fixe;45.8677778;5.2152778;42.2;Pylône autostable;CELLNEX;Chemin de MONTUEL;01800;01088;01;FH | 5G NR 2100 | LTE 1800 | LTE 700 | LTE 800 | UMTS 900
465875;0012290249;1;Orange;45.9777778;5.3119444;41.0;Pylône autostable;Sociétés d'Autoroutes;PEAGE D'AMBERIEU-EN-BUGEY - A42 - SENS PROVINCE PARIS - Echangeur N°8;01500;01089;01;5G NR 3500 | 5G NR 700 | GSM 900 | LTE 1800 | LTE 2100 | LTE 700 | LTE 800 | UMTS 900
520960;0012290042;1;Orange;46.1233333;4.9641667;42.0;Château d'eau - réservoir;Commune, communauté de commune;Les Communaux - Rte communale n°5 de l'Hippodrome - Château d'eau;01400;01093;01;5G NR 3500 | 5G NR 700 | GSM 900 | LTE 1800 | LTE 2100 | LTE 800 | UMTS 900
2514087;0010220158 | 0012290404;2;Orange | Orange service fixe;46.4269444;4.9986111;30.0;Pylône autostable;ATC FRANCE;La Prairie - Chem de la Prairie - St. épuration;01190;01094;01;FH | 5G NR 2100 | LTE 1800 | LTE 700 | LTE 800 | UMTS 900
2620428;0012290443;1;Orange;46.2988889;5.4411111;32.3;Pylône autostable;PHOENIX FRANCE INFRASTRUCTURES;LESSEY - R DES BARRES;01250;01095;01;LTE 700 | LTE 800 | UMTS 900
2853331;0012290479;1;Orange;46.2533333;5.3897222;26.7;Pylône autostable;CELLNEX;EN PLANBOURG - ROUTE DES ESSES;01250;01095;01;LTE 700 | LTE 800 | UMTS 900
71445;0012290086;1;Orange;46.1869444;5.0688889;24.0;Pylône autostable;TOTEM;Les Picolets - imp de berchère;01660;01096;01;5G NR 2100 | LTE 1800 | LTE 700 | LTE 800 | UMTS 900
